Rule_ID,Action,Protocol,Source_IP_Int,Source_Mask,Dest_IP_Int,Dest_Mask,Dest_Port
1,1,2,2898064896,24,1132870144,24,80
2,0,1,1602902528,24,3199977472,24,443
3,0,2,2366340096,24,1975316992,24,21
4,0,0,2608752640,24,4219320576,24,3389
5,1,0,3232235776,24,0,0,0
7,1,1,1107932160,24,2416454656,24,22
8,1,2,2529256704,24,227248896,24,0
9,0,1,3722733056,24,998635008,24,22
10,0,1,2886729728,16,0,0,22
12,0,2,378415616,24,67787008,24,21
13,1,3,3665162240,24,540510720,24,21
14,1,2,809727488,24,20253952,24,0
15,1,2,168430080,24,336860160,24,443
17,1,3,1282161152,24,3502668800,24,3389
18,0,1,2828065024,24,3451445504,24,22
19,1,1,3587073792,24,1497755648,24,80
20,0,1,1801993728,24,706748416,24,3389
21,1,2,3956970496,24,4141155840,24,0
22,0,3,2890242048,24,3806239232,24,443
23,1,0,2269099520,24,178741248,24,80
24,0,1,1522255104,24,3951309824,24,443
25,1,0,3890173696,24,1498993664,24,443
26,1,1,3054088704,24,2362067968,24,0
27,0,3,2903136512,24,3691304192,24,80
28,1,0,1454337536,24,2568720128,24,22
29,0,1,3384879104,24,275975936,24,22
30,1,1,1967847680,24,3266962688,24,22
31,1,3,3816906496,24,2103972352,24,21
32,0,1,1996688384,24,2788171520,24,3389
33,1,1,1160378880,24,3824216832,24,3389
34,0,2,4100638720,24,3323142656,24,22
35,0,0,167532544,24,715943936,24,3389
36,0,3,2022964480,24,1535559936,24,80
37,0,1,379520512,24,3167705600,24,22
38,1,3,1780270592,24,2835265280,24,0
39,0,1,3535987712,24,2088069888,24,3389
40,0,3,367255552,24,3495117568,24,0
41,1,3,541235456,24,2664131584,24,443
42,1,1,535423744,24,2375119104,24,3389
43,0,1,3673502208,24,676976384,24,0
44,1,3,256536064,24,2199446784,24,443
45,0,3,1262196224,24,1885098752,24,21
46,0,3,3958076672,24,2785224704,24,3389
47,0,0,3249722624,24,2034170624,24,0
48,1,3,1650760960,24,2446002432,24,21
49,0,1,1317768704,24,908371968,24,0
50,0,3,875161600,24,3150049280,24,80
