Rule_ID,Action,Protocol,Source_IP_Int,Source_Mask,Dest_IP_Int,Dest_Mask,Dest_Port
45,0,3,1262196224,24,1885098752,24,21
30,1,1,1967847680,24,3266962688,24,22
42,1,1,535423744,24,2375119104,24,3389
50,0,3,875161600,24,3150049280,24,80
16,0,2,168430080,24,336860160,24,443
46,0,3,3958076672,24,2785224704,24,3389
7,1,1,1107932160,24,2416454656,24,22
44,1,3,256536064,24,2199446784,24,443
27,0,3,2903136512,24,3691304192,24,80
39,0,1,3535987712,24,2088069888,24,3389
5,1,0,3232235776,24,0,0,0
35,0,0,167532544,24,715943936,24,3389
23,1,0,2269099520,24,178741248,24,80
21,1,2,3956970496,24,4141155840,24,0
8,1,2,2529256704,24,227248896,24,0
43,0,1,3673502208,24,676976384,24,0
17,1,3,1282161152,24,3502668800,24,3389
4,0,0,2608752640,24,4219320576,24,3389
22,0,3,2890242048,24,3806239232,24,443
41,1,3,541235456,24,2664131584,24,443
19,1,1,3587073792,24,1497755648,24,80
49,0,1,1317768704,24,908371968,24,0
11,0,1,2886729728,16,0,0,22
26,1,1,3054088704,24,2362067968,24,0
31,1,3,3816906496,24,2103972352,24,21
10,0,1,2886729728,16,0,0,22
36,0,3,2022964480,24,1535559936,24,80
38,1,3,1780270592,24,2835265280,24,0
6,0,1,3232235776,24,167772165,32,80
2,0,1,1602902528,24,3199977472,24,443
3,0,2,2366340096,24,1975316992,24,21
20,0,1,1801993728,24,706748416,24,3389
9,0,1,3722733056,24,998635008,24,22
18,0,1,2828065024,24,3451445504,24,22
34,0,2,4100638720,24,3323142656,24,22
37,0,1,379520512,24,3167705600,24,22
33,1,1,1160378880,24,3824216832,24,3389
15,1,2,168430080,24,336860160,24,443
40,0,3,367255552,24,3495117568,24,0
24,0,1,1522255104,24,3951309824,24,443
29,0,1,3384879104,24,275975936,24,22
47,0,0,3249722624,24,2034170624,24,0
14,1,2,809727488,24,20253952,24,0
48,1,3,1650760960,24,2446002432,24,21
1,1,2,2898064896,24,1132870144,24,80
12,0,2,378415616,24,67787008,24,21
25,1,0,3890173696,24,1498993664,24,443
28,1,0,1454337536,24,2568720128,24,22
32,0,1,1996688384,24,2788171520,24,3389
13,1,3,3665162240,24,540510720,24,21
